category,brand,asin,revenue,units,bsr
Hair Oil,AVIMEE,B0CMZQTJFD,102700,158,40039
Hair Oil,AVIMEE,B0BBWH4Y5J,45149,151,16382
Hair Oil,AVIMEE,B0BBVQFPJH,30498,102,14595
Hair Oil,MAX CARE,B075H7R62Y,66633,167,7669
Hair Oil,MAX CARE,B08HM66254,41861,41,39894
Hair Oil,MAX CARE,B07P47ZWM6,0,0,78601
Hair Oil,MAX CARE,B01FDMLIQY,265482,86,11495
Hair Oil,MAX CARE,B07P36KN21,0,0,93874
Hair Oil,Khadi Natural Herbal,B00AF73C6M,1794898,6254,336
Hair Oil,Khadi Natural Herbal,B09RPBKN9S,95410,290,10381
Hair Oil,Khadi Natural Herbal,B08422KPVP,75051,269,8787
Hair Oil,Khadi Natural Herbal,B00FZHBCWI,53900,220,12785
Hair Oil,Khadi Natural Herbal,B00FZH9Z4K,15252,62,31563
Hair Oil,Bajaj,B0785JGJQ2,2367400,6230,34988
Hair Oil,Bajaj,B06XGVZCJM,1865864,5126,127393
Hair Oil,Bajaj,B074H2L1W2,464919,5109,20847
Hair Oil,Bajaj,B00Z5TE3PE,356160,5088,89963
Hair Oil,Bajaj,B077XW9LK2,2871090,5037,51815
Hair Oil,Soulflower,B0C5D69DN9,322794,454,8800
Hair Oil,Soulflower,B097TFRMJT,88644,356,7053
Hair Oil,Soulflower,B0C9JM5QGQ,140499,201,13378
Hair Oil,Soulflower,B08PC4JKR2,107352,168,14866
Hair Oil,Soulflower,B08N1BFS5M,53676,84,17200
ACV Drink,WOW,B01AC9G656,4310658,9558,155
ACV Drink,Boldfit,B099WZ1Y4V,1813089,9111,161
ACV Drink,Bragg,B000R73XZ0,6719487,9613,234
ACV Drink,DISANO,B07KPGJ4ZV,892099,5473,360
ACV Drink,Tata,B0CCJW5ZCS,1056642,5774,381
ACV Drink,DABUR,B08BCYYRRF,1388520,4408,535
ACV Drink,Kapiva,B07CN47599,922432,3248,561
ACV Drink,Bragg,B001I7MVG0,4329720,3798,739
ACV Drink,DISANO,B07L2YPWXH,782697,2533,934
ACV Drink,DR. VAIDYA'S,B0BMG7LBBW,733148,2452,1057
ACV Drink,HealthVit,B016W0Y638,1699979,4871,1273
ACV Drink,Zandu,B0CBTQD2W4,172732,868,1443
ACV Drink,PLIX - THE PLANT FIX,B0B4DZFD2P,1603948,1427,1671
ACV Drink,St.Botanica,B016K4O9E2,356045.23,1271,1714
ACV Drink,WELLBEING NUTRITION,B09PHLHS51,234235,593,2501
ACV Drink,DABUR,B08QXR4SZS,434232,888,2203
ACV Drink,Tata,B0B4B1QFRL,281664,864,2232
ACV Drink,sugar.fit,B0CLB2GWMV,71118.06,219,2494
ACV Drink,Dr. Patkar's,B019CM2XKQ,841254,894,2664
ACV Drink,Conscious Food,B0156FUXIW,187840,587,2745
ACV Drink,VANSAAR,B0C3QRJ5PR,191950,550,2761
ACV Drink,ORGANIC INDIA,B0772N33LP,245794.45,473,3435
Water Purifier,TATA Swach,B07D3R62MH,763035,273,4562
ACV Drink,Dr. Patkar's,B019CLHFNC,128135,245,3996
ACV Drink,DISANO,B084HZ3JXY,1255851,5211,472
ACV Drink,Bragg,B01CSX4N9K,457500,366,4466
ACV Drink,Neuherbs,B07S2HGFS7,88504,296,4509
ACV Drink,Hakim Suleman's,B08HNBGCQK,579000,386,4592
ACV Drink,Generic,B0BLGKQX25,64619,361,4762
ACV Drink,HealthKart,B01N9K6GM2,49551,249,5613
ACV Drink,WELLBEING NUTRITION,B08PVSC9NF,106704,234,5711
ACV Drink,Zandu,B09KCJBTDD,47151,169,5714
ACV Drink,FAST&UP,B0B2KJB9CT,67626,234,5842
ACV Drink,UPAVEDA,B09Z2C18P7,27027,273,5955
ACV Drink,wow,B08B662ZFH,131237,263,6024
ACV Drink,Novus Organics,B09VB4ZNWG,286405,245,6115
ACV Drink,BASIC AYURVEDA,B08LCG294T,100832,274,6385
ACV Drink,Saapattu Raman,B092662LZZ,127959,221,6457
ACV Drink,Kapiva,B0B6TVF63Q,138223,277,6467
ACV Drink,Asitis Nutrition,B07YLM977W,83108,316,6617
ACV Drink,DR. VAIDYA'S,B0C7C3L1PS,268752,509,6640
ACV Drink,Borges,B075DJY7JQ,202032,549,7164
ACV Drink,WELLBEING NUTRITION,B08HVRBGHP,82841,187,7246
ACV Drink,32 Baar,B0CVGMVD2Y,47850,150,7278
ACV Drink,American Garden,B07PPSP6C2,31136,224,7312
ACV Drink,Nutrovally,B0C9V37NVY,24079,121,7314
ACV Drink,Miresi,B0B2PVVCPG,105042,183,8124
ACV Drink,Patanjali,B0792XZT6W,15960,152,8376
ACV Drink,Double Horse,B0B7NL4J7C,51840,288,5625
ACV Drink,Bragg,B00UAL6D6Y,548700,186,8639
ACV Drink,BBETTER,B09QQMMN8G,25472,128,8905
ACV Drink,Salubrity Nutritional Ventures LLP,B08HSZRHHP,16819,121,9192
Water Purifier,Livpure,B09X1P3J6G,5005030,470,2380
ACV Drink,Dr. Morepen,B097N3S9R7,84553,257,9420
ACV Drink,Tata,B0CF54JNNP,22125,75,9818
ACV Drink,Dr. Patkar's,B017ISKZPG,80845,115,9825
ACV Drink,Magic Leaf,B09MBSFM9M,79068,132,10492
ACV Drink,OZiva,B0971BDK6Z,69455,145,11466
ACV Drink,Borges,B07V5VG9ZF,60000,120,12647
ACV Drink,Neuherbs,B0B8CP431R,247504,496,12816
ACV Drink,Brewkart,B08T6QB3CG,40150,73,13177
ACV Drink,American Garden,B07S74QG5L,29760,93,13471
ACV Drink,HEINZ,B00695OILC,25863,37,13610
ACV Drink,BASIC AYURVEDA,B08WWN1N8M,176594,253,13976
ACV Drink,Nutrovally,B0CC28ML18,9772,28,14110
ACV Drink,Dr Trust,B07NLHVNVX,55860,140,14321
ACV Drink,Kapiva,B083M874CT,67088,112,14329
ACV Drink,ORGLIFE,B0933MVM5M,8575,49,14532
ACV Drink,Puressenz,B01HXPK8TW,11060,14,14615
ACV Drink,Tata,B0CF53FJ6Z,36162,98,14898
ACV Drink,Kapiva,B07DRGPG9G,0,85,15218
ACV Drink,OGREENY,B07D9J88YL,31620,102,15344
ACV Drink,BuenaVeda- Drop of Good Life,B0849R3X5Z,15785,41,15673
ACV Drink,MOONWAKE,B0BX9W2SKM,5130,19,15801
ACV Drink,urban platter,B07ZRFPR3J,20895,21,15851
ACV Drink,Miduty,B09VT74KD7,72520,74,16419
ACV Drink,Qutree,B0CTMRPSFJ,14442,58,16517
ACV Drink,OGREENY,B07HWZV13T,39200,98,16646
ACV Drink,Gusto Foods,B09MBKVBHL,2685,15,17144
ACV Drink,nutriorg,B07QM6TQ1V,0,0,2803
ACV Drink,Patanjali,B01C8QI6TU,4030,62,17300
Piles Care,Pet Saffa,B06X9SY3N1,45696,238,6406
ACV Drink,Inlife,B0792ZT2SF,16834,20,17453
ACV Drink,ORGANIC INDIA,B07K7LQXQ5,19623.1,34,17528
ACV Drink,Bagrry's,B07CPRQ3KY,15539,41,17837
ACV Drink,Nigris,B01I0ZYCNC,21956,44,17854
ACV Drink,Abbie's,B010CZI48M,5600,32,17459
ACV Drink,VOILA!!,B0B4PSPHK5,16000,100,16891
ACV Drink,CURA,B09C85SFW4,1395,9,18898
ACV Drink,Truefarm,B092QN84W8,2392,8,19019
ACV Drink,KAKRAN ORGANIC,B0964DK2JN,898,2,19224
ACV Drink,Saffola,B0B2RCMPTK,0,4,19964
ACV Drink,Nalan,B0CFK6HGWW,3515,19,20095
ACV Drink,Nutrovally,B0CB414G29,28116,99,20130
ACV Drink,BASIC AYURVEDA,B07X9PCKNF,7648,32,20440
ACV Drink,LA NATURE'S,B08WCCNQN1,0,0,3898
ACV Drink,nutriorg,B01N6H42ZB,0,0,3427
ACV Drink,Saapattu Raman,B0926632KY,65819,61,21085
ACV Drink,Neo,B09G2V4NMN,3952,26,21160
ACV Drink,OGREENY,B07D9JRLGW,9963,41,21780
ACV Drink,WELLBEING NUTRITION,B08R3KLJ3Y,24310,26,21791
ACV Drink,LEANBEING,B08S7C3FX5,2394,6,21963
ACV Drink,OZiva,B097GVSGNK,8532,9,22011
Water Purifier,HUL Pureit,B094YD54TC,6010809,791,2875
Water Purifier,AQUA D PURE,B0BLLJDJ1Q,2549490,510,2893
Water Purifier,HUL Pureit,B08B27R8MP,3935580,402,2902
Water Purifier,Kinsco,B09GLW2F7L,1250928,272,2943
Water Purifier,KENT,B01HXUJB2W,2175728,272,3176
Water Purifier,V-Guard,B07FJNNZCJ,3599274,426,3268
Water Purifier,Havells,B0B4981KGD,2821616,392,3644
Water Purifier,PROVEN,B0B7FJNSZR,1372536,264,3651
Water Purifier,Kinsco,B09GLVM5ZD,1338921,279,4633
Water Purifier,HUL Pureit,B08B27R8MP,7883525,635,3117
Water Purifier,AQUA LIBRA WITH DEVICE,B0C1ZPQ3Z4,1078309,271,5093
Water Purifier,Havells,B0B4981KGD,7960461,989,3285
Water Purifier,HUL Pureit,B0B8TBZFHG,3989715,285,5318
Water Purifier,HUL Pureit,B07MWBVTLP,6157200,280,5339
Water Purifier,V-Guard,B08KFC9HR6,2339740,260,5771
Water Purifier,Livpure,B0C7QTFC5D,2258451,199,5944
Water Purifier,KENT,B00GX91YA2,626168,232,5972
Water Purifier,HUL Pureit,B094YD54TC,1964738,262,6328
Water Purifier,KENT,B0958Q3K68,2598000,200,6515
Water Purifier,RAMA,B0CCSCP5XP,0,0,6571
Water Purifier,KENT,B0085KK9OY,674559,241,6665
Water Purifier,AQUAULTRA,B0C6MYK6TW,1426750,325,6968
Water Purifier,Faber,B0B5DZHTZ4,1683200,263,7462
Water Purifier,HUL Pureit,B0C5Y1P38P,3689795,205,7529
Water Purifier,Kinsco,B08JZH6RCK,819800,200,7645
Water Purifier,ADDYZ,B0C4TXL6KK,619845,155,7768
Water Purifier,AquaDart,B0C7H29HXT,554889,111,7904
Water Purifier,AQUA D PURE,B0CBS8WB6Q,6173651,1199,8045
Water Purifier,KENT,B009DA69KS,608790,210,8059
Water Purifier,ADDYZ,B0C72F5BCC,651837,163,8127
Water Purifier,IONIX,B09NRS513Q,2398275,153,8179
Water Purifier,KENT,B0095SD3BQ,361130,134,9288
Water Purifier,HUL Pureit,B08MFP6FJC,12053850,493,9353
Water Purifier,AQUA LIBRA WITH DEVICE,B0BLHZ7Z8V,606606,154,9415
Water Purifier,AO Smith,B07NYQS8JF,1419249,151,9418
Water Purifier,AQUAULTRA,B09SFCSCVY,682970,163,9560
Water Purifier,V-Guard,B09F6HZJTD,2066232,168,9650
Water Purifier,TATA Swach,B0746LH58R,459774,126,10120
Water Purifier,Generic,B0CBVQ1PCN,401475,101,10198
Water Purifier,AQUA GRAND+,B08G4GYZ7K,121568,32,10425
Water Purifier,RAMA,B07PBWN6N6,446976,97,10496
Water Purifier,Aquatec plus,B09MCXCDPT,839860,140,10607
Water Purifier,AO Smith,B09NQ1K1D9,2203848,152,10801
Water Purifier,IONIX,B08242KLN9,228888,66,10980
Water Purifier,Havells,B08DNVZN36,1403766,117,11555
Water Purifier,AO Smith,B07F5M6GKY,3048652,148,12445
Water Purifier,Aqua Grand+,B0C89NNH9Y,124215,35,13275
Water Purifier,V-Guard,B0B5RLPY8C,843489,111,14245
Water Purifier,ROYAL AQUAFRESH,B092S563QV,483682,118,14418
Water Purifier,LifeStraw,B07YT5WQ8K,306801,99,14730
Water Purifier,AQUA LIBRA WITH DEVICE,B09N1NQKTB,378900,100,14763
Water Purifier,KENT,B07PZPN3J9,2412930,138,14991
Water Purifier,HUL Pureit,B09M45XKKF,783902,98,15871
Water Purifier,PROVEN,B0BQ76BKQR,672966,109,16292
Water Purifier,KENT,B008LN6156,1282575,147,16564
Water Purifier,AO Smith,B0755D9T1M,2357003,97,17243
Water Purifier,ALAUKIK,B0CBVD44DK,127351,49,17451
Water Purifier,R.K. AQUA FRESH INDIA,B0792Y3PCW,551880,120,17617
Water Purifier,Kinsco,B0BQGXRBYM,281940,60,17847
Water Purifier,Blue Star,B09KBVNTQD,920282,118,17892
Water Purifier,Prestige,B075S8QZYF,234000,78,18416
Water Purifier,AQUAULTRA,B0C4TYTK78,326891,109,18636
Water Purifier,Havells,B09NW4LQCK,1012230,135,18779
Water Purifier,R.K. AQUA FRESH INDIA,B09V83KBYN,422304,96,19577
Water Purifier,MI,B08CBRKCZW,0,50,20202
Water Purifier,AO Smith,B0755JMLFV,4611417,183,20388
Water Purifier,Aqua Active,B083BC5VNW,593232,68,20684
Water Purifier,Havells,B09NW3T1NY,3695664,168,21089
Water Purifier,AQUA D PURE,B07Y7F88YM,879890,110,21425
Water Purifier,AquaDart,B0C5RQMXDS,389922,78,21628
Water Purifier,Livpure,B0CW9TGJ9H,10800950,655,4015
Water Purifier,PROVEN,B0CFDVSB6B,0,0,23005
Water Purifier,ROYAL AQUAFRESH,B092S5N2LP,513010,145,4062
Water Purifier,AQUA FRISCH,B0CCPGDT38,0,0,23455
Water Purifier,Kinsco,B09GLVM5ZD,1356945,305,4143
Water Purifier,KENT,B09F2FW4ZK,10846684,716,301
Water Purifier,V-Guard,B07FJNNZCJ,3695520,480,4302
Water Purifier,Livpure,B09X1P3J6G,6055243,757,430
Water Purifier,AQUA D PURE,B0BLLJDJ1Q,2464014,493,4676
Water Purifier,HUL Pureit,B08BJN4MP3,6349492,508,805
Water Purifier,AQUA D PURE,B0B79QLL1K,3354329,671,938
Water Purifier,AQUA D PURE,B0BLLJDJ1Q,3433527,723,1287
Water Purifier,AQUA D PURE,B0BJ6P3LSK,6283743,1257,1348
Water Purifier,HUL Pureit,B0B8TBZFHG,2976771,229,1615
Water Purifier,V-Guard,B07FJNNZCJ,2445165,335,1678
Water Purifier,PROVEN,B08GZ8XBCW,1069839,261,4725
Water Purifier,AQUA GRAND+,B08G4GYZ7K,736780,220,1868
Water Purifier,UI Intros,B0C28T1DL8,390370,103,1918
Water Purifier,Livpure,B0C7QTFC5D,3006690,310,2002
Water Purifier,Aquaguard,B09VS25ZX7,2737135,365,5001
Water Purifier,V-Guard,B08KFC9HR6,1903762,238,2121
Water Purifier,HUL Pureit,B07MWBVTLP,4437780,222,2761
Water Purifier,Havells,B0B4981KGD,3194237,463,2857
Water Purifier,HUL Pureit,B08B27R8MP,3739060,394,3184
Water Purifier,HUL Pureit,B094YD54TC,1607700,230,3306
Water Purifier,PROVEN,B0B7FJNSZR,1737099,351,3774
Water Purifier,AO Smith,B07F5M6GKY,2999850,150,3837
Water Purifier,TATA Swach,B097SS7JKS,890082,318,3838
Water Purifier,KENT,B01HXUJB2W,1747267,233,4140
Water Purifier,Havells,B08DNVZN36,1629837,163,4469
Water Purifier,V-Guard,B09F6HZJTD,1263483,117,4613
Water Purifier,AO Smith,B0755JMLFV,3495848,152,4661
Water Purifier,HUL Pureit,B0C5Y1P38P,3311816,184,4990
Water Purifier,Faber,B0B5DZHTZ4,1479530,247,5192
Water Purifier,KENT,B07PZPN3J9,2159880,120,5433
Water Purifier,TATA Swach,B07D3R62MH,740250,282,5459
Water Purifier,AquaDart,B0C7H29HXT,1244751,249,5881
Water Purifier,KENT,B0085KK9OY,613092,228,6580
Water Purifier,ADDYZ,B0C72F5BCC,888732,234,6844
Water Purifier,KENT,B0095S978O,1682588,92,7278
Water Purifier,AQUAULTRA,B09SFCSCVY,700248,179,7325
Water Purifier,KENT,B09CGQ6FCK,1450053,97,7850
Water Purifier,Native by UC,B0CJNRLGB4,0,0,7852
Water Purifier,Kinsco,B09GLW2F7L,1106754,246,8235
Water Purifier,KENT,B0CB8KG44H,798099,51,8257
Water Purifier,AO Smith,B09NQ1K1D9,1665881,119,8596
Water Purifier,V-Guard,B0B5RMZDMK,506961,39,8848
Water Purifier,AQUA D PURE,B0CH8KWCQR,0,0,8855
Water Purifier,KENT,B009DA69KS,502999,181,8928
Water Purifier,Havells,B09NW3T1NY,2343500,109,8953
Water Purifier,Kinsco,B09GLVM5ZD,1209758,242,9122
Water Purifier,Livpure,B0B25D1JHC,766395,105,9285
Water Purifier,Native by UC,B0CJNRKFY8,0,0,9423
Water Purifier,KENT,B00GX91YA2,555994,206,9424
Water Purifier,KENT,B08HWXFRKK,2693061,189,9501
Water Purifier,AQUA D PURE,B0CBS8WB6Q,749850,150,10548
Water Purifier,AQUA D PURE,B0BXP6Y1JX,446406,94,11097
Water Purifier,AQUA LIBRA WITH DEVICE,B0C1ZPQ3Z4,1092000,280,11173
Water Purifier,ROYAL AQUAFRESH,B092S563QV,502971,129,11192
Water Purifier,HUL Pureit,B0C1Z3P4SC,1007435,65,11425
Water Purifier,TATA Swach,B07FXLC2G2,0,627,11993
Water Purifier,ADDYZ,B0C4TXL6KK,683640,180,12246
Water Purifier,RAMA,B01MRGXB3Y,879270,159,13861
Water Purifier,RAMA,B0B5HDDX2N,562175,113,13866
Water Purifier,Havells,B08B55S3WM,1286460,105,13885
Water Purifier,AquaDart,B0C6H8413V,749547,153,14062
Water Purifier,KENT,B0095SD3BQ,300324,116,14290
Water Purifier,KENT,B008LN6156,926897,103,14488
Water Purifier,AQUA LIBRA WITH DEVICE,B09N1NQKTB,477300,129,16713
Water Purifier,AQUA D PURE,B0B79QLL1K,2528988,506,5134
Water Purifier,AO Smith,B07NYQS8JF,1079880,120,16872
Water Purifier,Blue Star,B0BTDHTR4N,475944,56,17150
Water Purifier,Havells,B09NW4LQCK,748893,107,17312
Water Purifier,Havells,B09DLK4LKX,1206858,142,17316
Water Purifier,KENT,B097DRYPZG,526400,28,17339
Water Purifier,Faber,B08KFRFSP9,459312,48,17577
Water Purifier,AQUA LIBRA WITH DEVICE,B0BLHZ7Z8V,300000,75,17680
Water Purifier,LG,B09GBPZNQN,679966,34,18210
Water Purifier,V-Guard,B0B5RMN2K4,683031,69,18290
Water Purifier,AO Smith,B0755D9T1M,2067906,94,18848
Water Purifier,HUL Pureit,B09M45XKKF,503937,63,19287
Water Purifier,AQUAULTRA,B0C4TYTK78,260913,87,19751
Water Purifier,BePURE,B07YWLSXQ6,388773,27,19984
Water Purifier,Kinsco,B08JZH6RCK,800226,174,20695
Water Purifier,Aquaguard,B09YXKRP17,6518294,346,5474
Water Purifier,Faber,B08SL1C9Y9,243398,39,21550
Water Purifier,AQUA D PURE,B07Y7F88YM,711911,89,21584
Water Purifier,PROVEN,B0BQ76BKQR,512770,94,22140
Water Purifier,Livpure,B0BNNPQXCB,649950,50,22362
Water Purifier,Generic,B0CK54W1WF,0,0,22954
Water Purifier,BePURE,B0BWXVXZQ7,658746,54,23046
Water Purifier,Aqua Ace,B0CXDYN2TV,670628,172,5509
Water Purifier,RAMA,B0CCSCP5XP,1667520,386,5622
Water Purifier,KENT,B01HXUJB2W,3344554,446,5659
Water Purifier,KENT,B09F2FW4ZK,16610020,980,1202
Water Purifier,Livpure,B0CFL2DM57,6772374,826,1241
Water Purifier,HUL Pureit,B08BJN4MP3,9813299,701,1684
Water Purifier,TATA Swach,B07FXLC2G2,0,690,1836
Water Purifier,Havells,B0B4981KGD,3247067,433,2243
Water Purifier,ROYAL AQUAFRESH,B092S4338H,1941702,498,2401
Water Purifier,Kinsco,B09GLW2F7L,1604018,382,2515
Water Purifier,Aquaguard,B0CJJ387M6,5811750,350,5702
Water Purifier,AQUA D PURE,B0C6TTPJT7,2459016,492,5744
Water Purifier,V-Guard,B07FJNNZCJ,3582376,424,2916
Water Purifier,Native by UC,B0CJNRLGB4,7819540,460,3402
Water Purifier,PROVEN,B0B7FJNSZR,2126391,409,3727
Water Purifier,Faber,B0CHF2Y2GS,1427400,260,3955
Water Purifier,Native by UC,B0CJNRKFY8,4991616,384,4144
Water Purifier,Kinsco,B09GLVM5ZD,1020568,232,4172
Water Purifier,HUL Pureit,B08B27R8MP,3485240,356,4738
Water Purifier,AO Smith,B07F5M6GKY,6220287,303,5889
Water Purifier,V-Guard,B08KFC9HR6,2860502,298,6707
Water Purifier,TATA Swach,B07D3R62MH,754650,270,6762
Water Purifier,AquaDart,B0C6H8413V,1072881,219,6941
Water Purifier,HUL Pureit,B094YD54TC,2211597,303,7990
Water Purifier,HUL Pureit,B0B8TBZFHG,3415756,244,8040
Water Purifier,HUL Pureit,B07MWBVTLP,5475510,249,8770
Water Purifier,HUL Pureit,B0C5Y1P38P,3795890,211,8935
Water Purifier,RAMA,B07PBWN6N6,498306,106,9060
Water Purifier,KENT,B00GX91YA2,542499,201,9471
Water Purifier,Generic,B0CHPKQX1Q,73910,19,9952
Water Purifier,KENT,B0085KK9OY,699750,250,10220
Water Purifier,KENT,B08HWXFRKK,2457000,156,10235
Water Purifier,Kinsco,B09GLW2F7L,2540395,605,1527
Water Purifier,PROVEN,B0CY71PC2K,1832718,282,5990
Water Purifier,AQUAULTRA,B09SFCSCVY,763809,191,10838
Water Purifier,Havells,B0CJR4LQ9V,6267339,299,6075
Water Purifier,V-Guard,B09F6HZJTD,1607866,134,11412
Water Purifier,AO Smith,B07F5M6GKY,3471429,169,11817
Water Purifier,Livpure,B0C7QTFC5D,3347955,295,11936
Water Purifier,Aquatec plus,B09MCXCDPT,713881,119,11998
Water Purifier,Kinsco,B08JZH6RCK,0,202,7046
Water Purifier,ADDYZ,B0C72F5BCC,834386,214,12382
Water Purifier,AquaDart,B0C7H29HXT,1049790,210,12595
Water Purifier,AO Smith,B0755JMLFV,4300830,170,12930
Water Purifier,AQUA LIBRA WITH DEVICE,B0C1ZPQ3Z4,562449,141,13315
Water Purifier,PROVEN,B0BQ76BKQR,915094,156,13888
Water Purifier,AQUA LIBRA WITH DEVICE,B09N1NQKTB,469578,122,14169
Water Purifier,R.K. AQUA FRESH INDIA,B0792Y3PCW,530955,135,14746
Water Purifier,RAMA,B0CCSCP5XP,558144,152,14867
Water Purifier,ADDYZ,B0C4TXL6KK,510769,131,14993
Water Purifier,Kinsco,B08JZH6RCK,483879,121,15024
Water Purifier,KENT,B01HXUJB2W,761940,102,15433
Water Purifier,ROYAL AQUAFRESH,B092S563QV,588845,155,17350
Water Purifier,HUL Pureit,B07MWBVTLP,7036800,320,8411
Water Purifier,All India Group,B0CGLBPVPP,684450,117,18779
Water Purifier,TATA Swach,B0746LH58R,415986,114,19551
Water Purifier,KENT,B009DA69KS,510224,176,19644
Water Purifier,Generic,B0CH123N48,730565,185,19826
Digestive and Nausea for Eno,Cremaffin Plus,B085J5FG9H,68250,273,6354
Water Purifier,Havells,B09NW3T1NY,3397100,161,20375
Water Purifier,AO Smith,B0755D9T1M,2964478,122,20792
Water Purifier,KENT,B0095S978O,2400300,127,20930
Water Purifier,KENT,B07PZPN3J9,2238000,120,21262
Water Purifier,AQUA LIBRA WITH DEVICE,B0BLHZ7Z8V,263913,67,21890
Water Purifier,KENT,B07NJ4V6R7,2109000,111,22754
Water Purifier,AQUA LIBRA WITH DEVICE,B0CJGKDB9W,0,0,22772
Water Purifier,Neerain,B0BYT62LLY,123900,42,22880
Water Purifier,AQUAULTRA,B0C6MYVB36,653640,156,23431
Water Purifier,PROVEN,B0BDH9QNPL,422280,72,23778
Water Purifier,AQUAULTRA,B0C4TYTK78,327483,117,25256
Water Purifier,PEORE,B09W2L1VP2,1116423,77,25603
Water Purifier,Faber,B0CHF2Y2GS,1985970,343,8780
Water Purifier,HUL Pureit,B09M45XKKF,799900,100,27173
Water Purifier,HUL Pureit,B07SFZ21BW,99632,13,28047
Water Purifier,KENT,B0CG17R4SN,797900,79,28512
Water Purifier,JIVA WATER,B0CH3DJQY5,214734,26,28818
Water Purifier,Havells,B0CJR4LQ9V,2819718,141,28973
Water Purifier,AQUAULTRA,B0C6MYK6TW,447888,112,28984
Water Purifier,WALDENT,B08SQGZZQ2,187500,25,29275
Water Purifier,KENT,B0958Q3K68,3569745,255,10319
Water Purifier,RAMA,B0B6HV3DG8,833910,154,32035
Water Purifier,Aquaguard,B09YLWT89W,24303758,2642,141
Water Purifier,Aqua D Pure,B0BJ6P3LSK,6765786,1314,597
Water Purifier,KONVIO NEER,B08K36NZSV,0,0,943
Water Purifier,Kent,B09F2FW4ZK,13321914,786,890
Water Purifier,Havells,B0B4981KGD,4394754,546,1838
Water Purifier,HUL Pureit,B08BJN4MP3,7774848,576,1883
Water Purifier,Aquaguard,B096NTB9XT,6854543,457,2226
Water Purifier,Aquaguard,B09NKS8Q2V,6587512,488,2231
Water Purifier,KBS,B0C3R47NGD,0,0,2333
Water Purifier,Livpure,B0CFL2DM57,4911201,599,2619
Water Purifier,Kinsco,B09GLVM5ZD,1381286,314,3266
Water Purifier,Aqua D Pure,B0B79QLL1K,2684463,537,3830
Water Purifier,Faber,B0CHF2Y2GS,1795230,327,3882
Water Purifier,Noir,B08KZLRY8B,0,0,6700
Water Purifier,Native by UC,B0CJNRKFY8,6277035,465,3995
Water Purifier,Aqua D Pure,B0CBVG9N6B,1859628,372,4443
Water Purifier,AO Smith,B07F5M6GKY,3481231,169,4779
Water Purifier,PROVEN,B0B7FJNSZR,1430508,292,4950
Water Purifier,V-Guard,B0B1DR1KMB,2864163,337,5025
Water Purifier,Native by UC,B0CJNRLGB4,8382021,479,5692
Water Purifier,Havells,B0CJR4LQ9V,2729740,130,5714
Water Purifier,V-Guard,B08QD2X657,1034550,242,4691
Water Purifier,Pureit,B094YD54TC,2109122,289,3904
Water Purifier,HUL Pureit,B08B27R8MP,2770570,283,6178
Water Purifier,Kinsco,B08JZH6RCK,0,0,6566
Water Purifier,Kent,B09TZTFSHT,2567500,158,10212
Water Purifier,Kent,B00GX91YA2,0,0,8480
Water Purifier,Aqua D Pure,B0BLLJDJ1Q,1109778,222,7596
Water Purifier,Macmillan,B09JFR8H3Q,0,151,7608
Water Purifier,V-Guard,B08KFC9HR6,2469753,247,9887
Water Purifier,AQUA D PURE,B0BJ6P3LSK,39799074,7963,140
Water Purifier,Aquaguard,B09YLWT89W,58430507,6493,252
Water Purifier,KENT,B09F2FW4ZK,39186088,2312,687
Water Purifier,Livpure,B09X1P3J6G,28276465,3535,746
Water Purifier,Native by UC,B0CR1DTPD2,24358260,1740,802
Water Purifier,PROVEN,B0B7FJNSZR,5838966,1134,1085
Water Purifier,Kinsco,B09GLW2F7L,12137517,2583,1588
Water Purifier,HUL Pureit,B08BJN4MP3,22722252,1748,1987
Water Purifier,Aquaguard,B096NTB9XT,16933871,1129,2057
Water Purifier,PROVEN,B08GZ8YF5B,1033890,241,2162
Water Purifier,Aquaguard,B09NKS8Q2V,10007166,834,2755
Water Purifier,HUL Pureit,B08B27R8MP,5139750,525,3713
Water Purifier,HUL Pureit,B094YD54TC,4908954,646,3792
Water Purifier,Havells,B0B4981KGD,7581489,1011,3916
Water Purifier,AQUA D PURE,B0BLLJDJ1Q,2478978,522,4016
Water Purifier,Aquaguard,B0CW62435R,0,0,4066
Water Purifier,KENT,B01HXUJB2W,2291940,306,4230
Water Purifier,V-Guard,B07FJNNZCJ,7411128,872,4316
Water Purifier,AQUA D PURE,B0B79QLL1K,2725138,562,5028
Water Purifier,Aquaguard,B09VS25ZX7,2684642,358,5154
Water Purifier,KENT,B00GX91YA2,1098086,407,5666
Water Purifier,Livpure,B0C7QTFC5D,7829972,593,5906
Water Purifier,KENT,B0085KK9OY,1279201,449,6055
Water Purifier,RAMA,B0CCSCP5XP,1131578,262,6482
Water Purifier,Kinsco,B09GLVM5ZD,2332314,486,6489
Water Purifier,Livpure,B0CW9TGJ9H,0,0,6528
Water Purifier,V-Guard,B08KFC9HR6,3499650,350,6619
Piles Care,Digene,B0861Z5GSP,3344,152,6512
Water Purifier,KENT,B009DA69KS,867006,294,6702
Water Purifier,NATURES,B0CPT6LT6C,1833450,510,7049
Water Purifier,Livpure,B074FRSGY9,168974,26,7057
Water Purifier,Aquaguard,B09YXKRP17,5050913,287,7109
Water Purifier,AQUA D PURE,B0C6TTPJT7,2144142,429,7204
