category,brand,asin,revenue,units,bsr
Omega,Carlson,B001LF39MO,55485,9,72320
Omega,Naturyz,B09KN8XCNX,347130,870,2416
Omega,Nirvasa,B0BS8VS3FC,536458,1222,2167
Omega,Seven Seas,B07KPJNV8G,229284,594,2882
Omega,Dr. Morepen,B099PPPQ9W,181480,520,3117
Omega,QUARANT,B0BZCJWHLC,344655,345,3746
Omega,Merck,B07D13G8CC,813096,552,3895
Omega,Carbamide Forte,B0C2H1G4SF,166260,340,4567
Omega,Seven Seas,B00FNSQNBE,201878,523,4878
Omega,Neuherbs,B0BS3VHTNS,105424,176,7466
Omega,MuscleTech,B00IUHMRPG,131930,167,8604
Omega,Neuherbs,B0BM4QNZJX,346596,204,11214
Omega,HealthKart,B08P5YM1SH,51514,86,9068
Omega,Seven Seas,B07KPRLYM1,54250,155,9783
Omega,KIRKLAND SIGNATURE,B002VLZHLS,162922,53,10451
Omega,Neuherbs,B08X2TKSNL,5174644,5756,220
Omega,Curevisor,B09G19VMHF,29054,146,13068
Omega,QUARANT,B0BZCPMB9L,74925,75,13547
Omega,Nature's Bounty,B000NPYY04,187122,78,15037
Omega,Nature Made,B0046XC528,59831,19,18523
Omega,Sunline Alaska,B07TYYCH7S,25254,46,20708
Omega,Boldfit,B08HWZTRNS,185368,232,13560
Omega,Seven Seas,B000LNHB3U,68820,30,21602
Omega,Nordic Naturals,B002WTCLJA,460350,93,13445
Omega,R V Essential,B07WCPQSB9,1701,9,21973
Omega,Pure Alaska,B0024LWRIQ,135278,43,26641
Omega,The Old Natural,B0B2F6SQ91,8960,28,21912
Omega,Now Foods,B00028M1K2,45645,17,30849
Omega,Carlson,B001LF39PG,132273,27,31248
Water Purifier,Faber,B08SL1C9Y9,336960,48,18433
Omega,WELLBEING NUTRITION,B09WF1J8T4,241046,254,31842
Omega,TATA 1mg,B0BR18BM1X,0,171,33651
Omega,Nordic Naturals,B004NXYP5G,324761,41,16031
Omega,KIRKLAND SIGNATURE,B0799SMX27,66481,19,34246
