word,brand,frequency,analysis
working,V-Guard,5,Negative
working,V-Guard,5,Positive
works,HUL Pureit,5,Positive
works,PROVEN,5,Positive
worry,Livpure,5,Positive
worst,Native by UC,5,Negative
worst,V-Guard,5,Negative
worth,HUL Pureit,5,Negative
worth,HUL Pureit,5,Positive
would,HUL Pureit,5,Negative
writing,Havells,5,Positive
writing,Kinsco,5,Positive
wrong,KENT,5,Negative
years,Aquaguard,5,Negative
years,HUL Pureit,5,Positive
years,RAMA,5,Positive
yet,KENT,5,Positive
youtube,KENT,5,Positive
zero,Aquaguard,5,Positive
zero,KENT,5,Positive
का,KENT,5,Neutral
नही,KENT,5,Neutral
में,KENT,5,Positive
या,KENT,5,Positive
सर्विस,KENT,5,Neutral
से,KENT,5,Positive
है,KENT,5,Positive
👍,HUL Pureit,5,Positive
,AO Smith,4,Positive
,AQUAULTRA,4,Negative
,PEORE,4,Positive
,V-Guard,4,Negative
'-,Livpure,4,Positive
'-,Native by UC,4,Positive
"



good",KENT,4,Negative
"



i",KENT,4,Positive
&,Aquadpure,4,Positive
&,Livpure,4,Neutral
&,V-Guard,4,Positive
(,KENT,4,Positive
(,Livpure,4,Negative
'+,Livpure,4,Positive
0,KENT,4,Positive
1,AO Smith,4,Positive
1,Havells,4,Positive
1,Native by UC,4,Negative
10,KENT,4,Positive
1200,KENT,4,Positive
15,AQUA D PURE,4,Positive
15,Faber,4,Negative
15,Livpure,4,Positive
15,PROVEN,4,Positive
2,V-Guard,4,Positive
2023,Aquaguard,4,Positive
2024,Havells,4,Negative
2024,Livpure,4,Negative
02-Mar,Aquaguard,4,Negative
02-Mar,KENT,4,Negative
24,Aquaguard,4,Negative
3,AQUA D PURE,4,Positive
3,PEORE,4,Positive
30,KENT,4,Negative
300,KENT,4,Positive
03-Apr,KENT,4,Positive
03-Apr,Livpure,4,Neutral
3rd,Aquaguard,4,Positive
3rd,KENT,4,Positive
4,Faber,4,Positive
4,Havells,4,Negative
4,RAMA,4,Positive
45,Aquaguard,4,Negative
5,Aquaguard,4,Neutral
5,Havells,4,Negative
5,Kinsco,4,Positive
5,Native by UC,4,Positive
50,Livpure,4,Negative
50,Livpure,4,Positive
5000,KENT,4,Negative
5k,HUL Pureit,4,Positive
6,HUL Pureit,4,Negative
6,Livpure,4,Positive
6,PROVEN,4,Positive
6000,HUL Pureit,4,Negative
7,KENT,4,Positive
7000,KENT,4,Negative
8,Native by UC,4,Positive
9,KENT,4,Negative
aaro,Livpure,4,Positive
able,KENT,4,Positive
able,Livpure,4,Positive
action,Aquaguard,4,Negative
actually,KENT,4,Negative
adaptor,AQUA D PURE,4,Positive
add,KENT,4,Positive
adjusted,Native by UC,4,Positive
adjuster,Livpure,4,Negative
affordable,AQUA D PURE,4,Positive
affordable,AquaDart,4,Positive
agent,Aquaguard,4,Negative
akhil,V-Guard,4,Positive
alkaline,AQUA D PURE,4,Positive
almost,AQUA D PURE,4,Negative
almost,Aquaguard,4,Positive
already,Aquaguard,4,Positive
already,KENT,4,Positive
already,Livpure,4,Positive
already,RAMA,4,Positive
also,BRITA,4,Positive
always,Aquaguard,4,Positive
amazing,HUL Pureit,4,Positive
amazing,Native by UC,4,Positive
amazon,AQUA D PURE,4,Positive
amazon,Faber,4,Negative
amazon,Havells,4,Negative
amazon,Havells,4,Positive
amazon,V-Guard,4,Positive
amc,V-Guard,4,Positive
another,Havells,4,Positive
another,Livpure,4,Negative
another,Livpure,4,Positive
another,Native by UC,4,Positive
anyone,Aquaguard,4,Negative
anyone,Aquaguard,4,Positive
anything,Livpure,4,Negative
app,Native by UC,4,Negative
appearance,Aquaguard,4,Positive
april,KENT,4,Negative
aquadpure,AQUA D PURE,4,Positive
aquaguard,Kinsco,4,Positive
around,AO Smith,4,Positive
around,PROVEN,4,Positive
arrived,Aquaguard,4,Positive
ask,KENT,4,Negative
asked,Livpure,4,Positive
associate,Aquaguard,4,Positive
aura,Aquaguard,4,Positive
automatically,Aquaguard,4,Negative
available,Aquaguard,4,Negative
available,KENT,4,Negative
available,KENT,4,Positive
available,Livpure,4,Negative
available,Livpure,4,Positive
average,KENT,4,Negative
avoid,KENT,4,Negative
away,Aquaguard,4,Negative
awesome,AO Smith,4,Positive
awesome,AquaDart,4,Positive
bad,AO Smith,4,Negative
bad,AO Smith,4,Positive
bad,AquaDart,4,Negative
bad,Kinsco,4,Positive
bahut,Livpure,4,Positive
basis,Livpure,4,Negative
beautiful,Havells,4,Positive
beep,KENT,4,Positive
behind,HUL Pureit,4,Neutral
bekar,Livpure,4,Positive
believe,KENT,4,Negative
best,Aquadpure,4,Positive
best,AQUAULTRA,4,Positive
best,V-Guard,4,Positive
better,AQUA D PURE,4,Positive
better,AquaDart,4,Positive
better,PEORE,4,Positive
big,KENT,4,Negative
big,Kinsco,4,Positive
bilkul,Livpure,4,Positive
bit,RAMA,4,Positive
body,Aquaguard,4,Negative
body,KENT,4,Negative
booking,Aquaguard,4,Negative
bothered,Aquaguard,4,Negative
bothered,KENT,4,Negative
bottle,Aquaguard,4,Negative
bought,AQUA D PURE,4,Positive
bought,Havells,4,Negative
box,Aquaguard,4,Negative
brand,AO Smith,4,Positive
brand,PEORE,4,Positive
branded,Aquaguard,4,Positive
brands,AQUA D PURE,4,Positive
brands,Aquaguard,4,Negative
brands,HUL Pureit,4,Negative
break,KENT,4,Negative
brought,Kinsco,4,Positive
budget,Livpure,4,Positive
build,HUL Pureit,4,Positive
buy,AQUA FRISCH,4,Positive
buy,AquaDart,4,Positive
buy,Faber,4,Positive
buy,PEORE,4,Positive
buy,RAMA,4,Negative
buying,Havells,4,Positive
buying,Kinsco,4,Positive
c,Livpure,4,Positive
call,V-Guard,4,Negative
called,HUL Pureit,4,Negative
calls,Faber,4,Negative
came,AO Smith,4,Positive
came,AQUA D PURE,4,Negative
came,Livpure,4,Negative
came,PROVEN,4,Positive
came,V-Guard,4,Positive
cancelled,Aquaguard,4,Negative
candle,HOME-PRO,4,Positive
cannot,KENT,4,Negative
can't,Native by UC,4,Negative
capacity,Aquaguard,4,Negative
capacity,Aquaguard,4,Positive
capacity,Livpure,4,Positive
capacity,Native by UC,4,Positive
carbon,KENT,4,Positive
card,Livpure,4,Neutral
center,Aquaguard,4,Positive
center,KENT,4,Positive
center,Livpure,4,Negative
centers,Aquaguard,4,Negative
change,Kinsco,4,Negative
changed,Aquaguard,4,Negative
charcoal/black,RAMA,4,Negative
charge,Aquaguard,4,Negative
charge,Aquaguard,4,Positive
charge,HUL Pureit,4,Negative
charges,PROVEN,4,Negative
cheap,AQUA D PURE,4,Positive
cheap,Kinsco,4,Positive
cheap,Livpure,4,Negative
cheapest,Livpure,4,Negative
cheating,Aquaguard,4,Negative
check,Aquaguard,4,Positive
check,Havells,4,Positive
check,HUL Pureit,4,Negative
checked,HUL Pureit,4,Positive
chemical,Livpure,4,Positive
choice,AO Smith,4,Positive
choice,AQUA D PURE,4,Positive
choose,Aquaguard,4,Negative
choose,Aquaguard,4,Positive
choose,KENT,4,Positive
choose,Livpure,4,Positive
class,KENT,4,Positive
clean,AQUA LIBRA WITH DEVICE,4,Positive
clean,RAMA,4,Positive
cleaned,KENT,4,Negative
cleans,Aquaguard,4,Positive
clear,HUL Pureit,4,Positive
clear,Livpure,4,Negative
clearly,HUL Pureit,4,Positive
clogged,KENT,4,Negative
closed,KENT,4,Negative
combination,Aquaguard,4,Negative
combination,Livpure,4,Positive
come,Havells,4,Positive
come,KENT,4,Positive
comes,HUL Pureit,4,Positive
comes,Livpure,4,Negative
comes,RAMA,4,Positive
coming,Livpure,4,Positive
compact,AO Smith,4,Positive
company,AquaDart,4,Negative
company,Aquadpure,4,Negative
company,Havells,4,Negative
company,HUL Pureit,4,Neutral
company,V-Guard,4,Positive
compared,Kinsco,4,Positive
compared,PEORE,4,Positive
complaining,KENT,4,Negative
complaint,HUL Pureit,4,Negative
complaint,Livpure,4,Negative
complaints,AO Smith,4,Positive
complaints,KENT,4,Positive
complete,KENT,4,Positive
completed,KENT,4,Negative
completed,PROVEN,4,Positive
components,Livpure,4,Negative
condition,Aquatec plus,4,Positive
condition,KENT,4,Positive
contact,Aquaguard,4,Negative
contact,HUL Pureit,4,Positive
continuously,Livpure,4,Positive
control,HUL Pureit,4,Negative
convenience,Aquaguard,4,Positive
cool,Native by UC,4,Positive
copper,Havells,4,Positive
corner,Havells,4,Positive
cost,AQUAULTRA,4,Positive
cost,Livpure,4,Neutral
cost,Livpure,4,Positive
costly,Havells,4,Negative
costly,Kinsco,4,Positive
costs,Livpure,4,Positive
could,AQUAULTRA,4,Negative
could,RAMA,4,Negative
could,V-Guard,4,Negative
crack,Livpure,4,Positive
currently,HUL Pureit,4,Neutral
currently,HUL Pureit,4,Positive
customer,AQUA FRISCH,4,Positive
customer,AquaDart,4,Positive
customer,R.K. AQUA FRESH INDIA,4,Positive
daily,KENT,4,Positive
damaged,Havells,4,Negative
date,Aquaguard,4,Negative
day,Aquaguard,4,Neutral
day,HUL Pureit,4,Negative
day,PEORE,4,Positive
day,ROYAL AQUAFRESH,4,Negative
days,Kinsco,4,Negative
days,PEORE,4,Positive
decent,KENT,4,Positive
defective,Aquaguard,4,Positive
defective,HUL Pureit,4,Negative
definately,Livpure,4,Positive
definitely,Kinsco,4,Positive
delivered,KENT,4,Neutral
delivery,Havells,4,Positive
delivery,HUL Pureit,4,Neutral
delivery,Native by UC,4,Positive
denied,Aquaguard,4,Positive
design,HUL Pureit,4,Positive
design,KENT,4,Positive
design,Livpure,4,Negative
design,PROVEN,4,Positive
designed,Aquaguard,4,Positive
despite,Havells,4,Negative
despite,KENT,4,Negative
despite,Livpure,4,Positive
despite,PEORE,4,Positive
details,Aquaguard,4,Positive
didn’t,KENT,4,Negative
didnot,Livpure,4,Positive
didn't,HUL Pureit,4,Negative
didn't,Livpure,4,Positive
didn't,PEORE,4,Positive
different,Aquaguard,4,Positive
dirt,BRITA,4,Negative
doesn't,Livpure,4,Negative
don’t,AQUA D PURE,4,Negative
don’t,Faber,4,Negative
don’t,Native by UC,4,Positive
done,AquaDart,4,Positive
done,Faber,4,Neutral
done,KENT,4,Neutral
done,V-Guard,4,Neutral
don't,AO Smith,4,Negative
don't,AQUA D PURE,4,Negative
don't,AQUA D PURE,4,Positive
don't,Native by UC,4,Negative
don't,PROVEN,4,Positive
don't,V-Guard,4,Negative
doubt,Aquaguard,4,Positive
drawback,AO Smith,4,Positive
drink,Aquaguard,4,Negative
drinking,HUL Pureit,4,Positive
drinking,Livpure,4,Positive
drinking,PEORE,4,Positive
due,Havells,4,Positive
dust,Aquaguard,4,Negative
dust,Aquaguard,4,Positive
earlier,Aquaguard,4,Negative
earlier,KENT,4,Negative
ease,Havells,4,Positive
ease,HUL Pureit,4,Positive
easy,AQUA LIBRA WITH DEVICE,4,Positive
easy,KENT,4,Negative
easy,V-Guard,4,Positive
efficient,AO Smith,4,Positive
efficiently,HUL Pureit,4,Positive
either,Aquaguard,4,Negative
electricity,AO Smith,4,Positive
engineer,Havells,4,Positive
enough,Aquaguard,4,Positive
entire,KENT,4,Negative
etc,Aquaguard,4,Negative
even,AO Smith,4,Negative
even,AQUA D PURE,4,Positive
even,AquaDart,4,Negative
even,PEORE,4,Positive
every,Havells,4,Positive
everyone,PROVEN,4,Positive
everything,KENT,4,Negative
excellent,AQUAULTRA,4,Positive
except,KENT,4,Negative
executive,HUL Pureit,4,Positive
executive,Native by UC,4,Positive
exorbitant,Aquaguard,4,Positive
expected,AO Smith,4,Positive
expected,HUL Pureit,4,Positive
expensive,Aquaguard,4,Negative
expensive,Kinsco,4,Positive
experience,AQUA D PURE,4,Positive
experience,Havells,4,Negative
experience,PEORE,4,Positive
experienced,Aquaguard,4,Negative
explain,Livpure,4,Positive
extended,Livpure,4,Positive
external,Aquaguard,4,Positive
extra,AO Smith,4,Negative
extremely,KENT,4,Positive
face,KENT,4,Positive
faced,Kinsco,4,Positive
faced,PEORE,4,Positive
facing,KENT,4,Negative
far,AO Smith,4,Negative
far,HUL Pureit,4,Negative
fast,DHANVI AquaFresh,4,Positive
fast,Native by UC,4,Positive
feature,Aquaguard,4,Negative
feel,AO Smith,4,Positive
feel,KENT,4,Negative
filled,KENT,4,Positive
filling,Aquaguard,4,Positive
filling,KENT,4,Negative
filter,AO Smith,4,Negative
filter,Aquatec plus,4,Positive
filter,Livpure,4,Neutral
filter,R.K. AQUA FRESH INDIA,4,Positive
filter,RAMA,4,Neutral
filter,ROYAL AQUAFRESH,4,Negative
filteration,RAMA,4,Negative
filtered,PROVEN,4,Positive
filtering,Aquaguard,4,Negative
filtering,Aquaguard,4,Positive
filtering,KENT,4,Neutral
filters,KENT,4,Neutral
filter's,AQUA LIBRA WITH DEVICE,4,Positive
filtration,AQUA D PURE,4,Positive
filtration,HUL Pureit,4,Negative
filtration,PEORE,4,Neutral
find,KENT,4,Positive
find,Kinsco,4,Positive
fine,Faber,4,Positive
fine,Livpure,4,Negative
first,AQUA D PURE,4,Positive
first,Native by UC,4,Negative
fit,AO Smith,4,Positive
fit,KENT,4,Negative
fit,Livpure,4,Positive
fitted,Havells,4,Positive
fix,KENT,4,Positive
flow,KENT,4,Negative
flow,RAMA,4,Negative
follow,HUL Pureit,4,Positive
following,Livpure,4,Negative
food,RAMA,4,Positive
found,Aquaguard,4,Positive
found,Livpure,4,Positive
found,PROVEN,4,Positive
fraud,KENT,4,Negative
free,AO Smith,4,Positive
free,AQUAULTRA,4,Positive
free,Faber,4,Positive
free,PEORE,4,Positive
frequent,KENT,4,Negative
frustrating,Aquaguard,4,Negative
full,Livpure,4,Negative
functioning,Aquaguard,4,Negative
future,Livpure,4,Positive
g,Livpure,4,Positive
game,Aquaguard,4,Negative
gave,Aquaguard,4,Positive
get,AO Smith,4,Negative
get,PROVEN,4,Positive
gets,HUL Pureit,4,Negative
gets,Livpure,4,Positive
getting,Havells,4,Positive
give,AQUA D PURE,4,Positive
give,KENT,4,Positive
give,PROVEN,4,Positive
given,Native by UC,4,Positive
giving,Aquaguard,4,Positive
giving,Havells,4,Positive
giving,KENT,4,Positive
giving,Kinsco,4,Positive
gkk1,HUL Pureit,4,Negative
go,AQUAULTRA,4,Positive
go,HUL Pureit,4,Positive
go,Kinsco,4,Negative
go,Livpure,4,Negative
going,AO Smith,4,Positive
going,Livpure,4,Neutral
gold,Aquaguard,4,Positive
gone,KENT,4,Negative
good,BRITA,4,Negative
got,Kinsco,4,Positive
got,Native by UC,4,Positive
got,V-Guard,4,Positive
gravity,KENT,4,Negative
great,AQUA FRISCH,4,Positive
great,DHANVI AquaFresh,4,Positive
great,R.K. AQUA FRESH INDIA,4,Positive
guard,V-Guard,4,Negative
gud,Kinsco,4,Positive
guidance,Livpure,4,Positive
guy,Havells,4,Negative
hai,AQUA D PURE,4,Negative
hai,Havells,4,Neutral
hai,HUL Pureit,4,Negative
hai,KENT,4,Negative
hai,KENT,4,Neutral
half,HUL Pureit,4,Positive
half,KENT,4,Positive
hanging,KENT,4,Negative
happen,Aquaguard,4,Negative
hard,Havells,4,Positive
hard,KENT,4,Positive
hard,Livpure,4,Positive
headache,Aquaguard,4,Negative
health,Havells,4,Positive
health,KENT,4,Positive
health,PEORE,4,Positive
help,Livpure,4,Positive
helpdesk,Livpure,4,Negative
helpful,AquaDart,4,Positive
helpful,Kinsco,4,Positive
helpful,PROVEN,4,Positive
helpful,V-Guard,4,Positive
hi,Aquaguard,4,Negative
hi,KENT,4,Negative
high,Havells,4,Negative
high,HUL Pureit,4,Positive
high,Kinsco,4,Positive
high,V-Guard,4,Negative
ho,Aquaguard,4,Negative
hole,KENT,4,Positive
home,Livpure,4,Positive
hook,KENT,4,Negative
hopeless,KENT,4,Negative
horrible,Livpure,4,Negative
hour,KENT,4,Negative
hour,Livpure,4,Negative
hours,KENT,4,Positive
hours,Livpure,4,Negative
house,Aquaguard,4,Negative
house,HUL Pureit,4,Positive
however,Aquaguard,4,Negative
however,Havells,4,Positive
however,HUL Pureit,4,Negative
however,HUL Pureit,4,Positive
huge,Aquaguard,4,Negative
hydration,AQUA D PURE,4,Positive
i'm,RAMA,4,Positive
immediately,RAMA,4,Positive
important,KENT,4,Positive
impressed,PROVEN,4,Positive
impressed,V-Guard,4,Positive
indicators,Kinsco,4,Positive
initial,Aquaguard,4,Negative
inlet,KENT,4,Positive
input,PEORE,4,Positive
install,AQUA LIBRA WITH DEVICE,4,Positive
install,AQUAULTRA,4,Positive
install,V-Guard,4,Negative
installation,AQUAULTRA,4,Positive
installation,Generic,4,Positive
installation,Kinsco,4,Neutral
instlation,AQUA D PURE,4,Neutral
isn't,KENT,4,Negative
issue,AO Smith,4,Positive
issue,AQUA D PURE,4,Positive
issue,Kinsco,4,Negative
issue,PEORE,4,Positive
issue,PROVEN,4,Negative
issue,V-Guard,4,Positive
issues,HUL Pureit,4,Negative
it’s,HUL Pureit,4,Positive
it’s,Native by UC,4,Positive
item,BRITA,4,Positive
item,KENT,4,Positive
item,Livpure,4,Negative
item,Livpure,4,Positive
job,AO Smith,4,Positive
job,KENT,4,Negative
keep,Kinsco,4,Positive
keep,Livpure,4,Negative
kent,Kinsco,4,Positive
kept,KENT,4,Negative
kept,Livpure,4,Positive
kitchen,HUL Pureit,4,Positive
know,Native by UC,4,Positive
knowledgeable,HUL Pureit,4,Positive
kumar,PROVEN,4,Positive
last,AquaDart,4,Positive
last,Havells,4,Negative
last,Kinsco,4,Negative
late,HUL Pureit,4,Positive
later,HUL Pureit,4,Negative
later,Livpure,4,Negative
later,Livpure,4,Positive
leakage,Faber,4,Negative
leakage,V-Guard,4,Positive
leaking,HUL Pureit,4,Negative
leaking,RAMA,4,Positive
less,Havells,4,Positive
less,Livpure,4,Negative
less,PEORE,4,Positive
less,PROVEN,4,Positive
level,AQUA D PURE,4,Positive
level,Livpure,4,Neutral
like,AQUA D PURE,4,Negative
like,AQUA LIBRA WITH DEVICE,4,Positive
like,Aquadpure,4,Positive
like,PEORE,4,Positive
liked,Kinsco,4,Positive
liters,KENT,4,Positive
liters,RAMA,4,Negative
litre,Aquaguard,4,Negative
litre,KENT,4,Positive
litres,HUL Pureit,4,Negative
litres,KENT,4,Negative
little,HUL Pureit,4,Positive
little,Livpure,4,Positive
liv,Livpure,4,Positive
live,AQUA D PURE,4,Positive
live,HUL Pureit,4,Neutral
live,Livpure,4,Negative
liveliveremaining,HUL Pureit,4,Neutral
liveliveremaining,HUL Pureit,4,Positive
loaded,AO Smith,4,Positive
loaded,AQUAULTRA,4,Negative
loaded,PEORE,4,Positive
loaded,V-Guard,4,Negative
loading,HUL Pureit,4,Neutral
loading,HUL Pureit,4,Positive
local,Aquaguard,4,Negative
local,Livpure,4,Negative
long,Livpure,4,Positive
look,Havells,4,Positive
looked,Livpure,4,Positive
looking,KENT,4,Positive
looking,PEORE,4,Positive
looking,PROVEN,4,Positive
looks,RAMA,4,Positive
lot,Aquaguard,4,Negative
lot,Havells,4,Positive
lot,HUL Pureit,4,Positive
lot,KENT,4,Negative
lot,Kinsco,4,Positive
lot,RAMA,4,Positive
love,Kinsco,4,Positive
loved,Livpure,4,Positive
low,PROVEN,4,Negative
lower,Livpure,4,Negative
lower,RAMA,4,Positive
ltr,HUL Pureit,4,Positive
ltr,KENT,4,Negative
machine,R.K. AQUA FRESH INDIA,4,Negative
made,KENT,4,Negative
made,Livpure,4,Positive
main,Aquaguard,4,Negative
maintain,KENT,4,Negative
maintenance,Havells,4,Negative
make,AO Smith,4,Positive
make,Havells,4,Positive
man,HUL Pureit,4,Positive
manual,HUL Pureit,4,Positive
many,AO Smith,4,Positive
mark,Aquaguard,4,Positive
mark,HUL Pureit,4,Positive
market,Native by UC,4,Positive
marvel,Aquaguard,4,Positive
material,Livpure,4,Negative
may,KENT,4,Negative
media,AO Smith,4,Positive
media,AQUAULTRA,4,Negative
media,PEORE,4,Positive
media,V-Guard,4,Negative
membrane,Faber,4,Negative
mention,Aquaguard,4,Negative
meter,Livpure,4,Negative
might,KENT,4,Negative
minerals,PEORE,4,Positive
minimum,Livpure,4,Negative
minutes,PROVEN,4,Positive
mishra,V-Guard,4,Positive
missing,HUL Pureit,4,Negative
missing,RAMA,4,Negative
missing,RAMA,4,Positive
modal,HUL Pureit,4,Neutral
modal,HUL Pureit,4,Positive
model,AO Smith,4,Positive
model,Native by UC,4,Positive
money,AquaDart,4,Negative
money,Aquadpure,4,Negative
money,Faber,4,Negative
money,R.K. AQUA FRESH INDIA,4,Positive
money,V-Guard,4,Positive
month,HUL Pureit,4,Positive
month,Kinsco,4,Negative
month,R.K. AQUA FRESH INDIA,4,Negative
months,Faber,4,Positive
months,HUL Pureit,4,Neutral
motor,AO Smith,4,Positive
motor,Kinsco,4,Negative
mount,KENT,4,Positive
mr,Faber,4,Positive
ms,Aquaguard,4,Positive
much,Native by UC,4,Positive
multiple,Livpure,4,Negative
municipal,KENT,4,Negative
municipal,KENT,4,Positive
must,AQUA LIBRA WITH DEVICE,4,Positive
must,AQUAULTRA,4,Positive
must,KENT,4,Neutral
n,Havells,4,Negative
name,Havells,4,Negative
nano,PEORE,4,Positive
native,Native by UC,4,Positive
neat,Livpure,4,Positive
need,AQUA D PURE,4,Positive
need,Havells,4,Negative
needs,PEORE,4,Positive
never,Livpure,4,Positive
never,V-Guard,4,Positive
new,Havells,4,Negative
new,V-Guard,4,Positive
next,AO Smith,4,Positive
next,Aquaguard,4,Positive
next,Livpure,4,Positive
next,PROVEN,4,Positive
nice,Aquadpure,4,Positive
nice,ROYAL AQUAFRESH,4,Positive
nicely,HUL Pureit,4,Positive
nicely,PROVEN,4,Positive
noise,HUL Pureit,4,Negative
none,Aquaguard,4,Negative
normal,KENT,4,Negative
november,Aquaguard,4,Negative
nuts,RAMA,4,Positive
odour,Livpure,4,Positive
offering,Livpure,4,Positive
ok,AQUA D PURE,4,Positive
ok,Faber,4,Positive
ok,RAMA,4,Positive
one,HUL Pureit,4,Neutral
one,Livpure,4,Neutral
one,R.K. AQUA FRESH INDIA,4,Negative
one,ROYAL AQUAFRESH,4,Negative
open,Aquaguard,4,Positive
opened,KENT,4,Negative
operation,Livpure,4,Negative
option,HUL Pureit,4,Negative
orp,PROVEN,4,Positive
otherwise,KENT,4,Negative
otherwise,Livpure,4,Positive
outlet,Aquaguard,4,Negative
owing,Livpure,4,Positive
p,Livpure,4,Positive
package,Aquaguard,4,Negative
package,Aquaguard,4,Positive
packaging,KENT,4,Negative
packing,Livpure,4,Positive
paid,AQUA D PURE,4,Positive
paid,Havells,4,Negative
paid,HUL Pureit,4,Positive
paid,Livpure,4,Positive
part,HUL Pureit,4,Positive
part,Kinsco,4,Positive
part,PROVEN,4,Positive
particles,Havells,4,Positive
parts,Faber,4,Negative
parts,Havells,4,Negative
parts,HUL Pureit,4,Negative
party,KENT,4,Negative
past,AO Smith,4,Positive
past,Aquaguard,4,Positive
past,Kinsco,4,Positive
past,Livpure,4,Negative
pathetic,Aquaguard,4,Positive
paying,Livpure,4,Negative
people,AO Smith,4,Positive
people,AQUA D PURE,4,Positive
people,Livpure,4,Positive
per,HUL Pureit,4,Positive
per,KENT,4,Neutral
per,Kinsco,4,Positive
per,Livpure,4,Negative
per,Livpure,4,Positive
perfect,Native by UC,4,Positive
perfectly,HUL Pureit,4,Positive
performance,AO Smith,4,Positive
phone,Livpure,4,Negative
physical,Livpure,4,Negative
picking,Aquaguard,4,Negative
piece,HUL Pureit,4,Positive
pipe,Livpure,4,Positive
placed,Aquaguard,4,Positive
placed,KENT,4,Negative
plastic,Kinsco,4,Negative
plastic,Livpure,4,Negative
plastic,PROVEN,4,Positive
play,HUL Pureit,4,Neutral
play,HUL Pureit,4,Positive
player,HUL Pureit,4,Neutral
player,HUL Pureit,4,Positive
please,AQUA D PURE,4,Positive
please,AQUAULTRA,4,Negative
please,Havells,4,Negative
pleasing,Aquaguard,4,Positive
point,Aquaguard,4,Negative
poor,PROVEN,4,Negative
post,KENT,4,Negative
post,KENT,4,Positive
post,Livpure,4,Negative
potable,KENT,4,Positive
powder,KENT,4,Negative
power,Livpure,4,Positive
power,Native by UC,4,Positive
ppm,PROVEN,4,Positive
pre,Aquaguard,4,Positive
pre,Livpure,4,Neutral
prefilter,KENT,4,Positive
pressure,HUL Pureit,4,Positive
pressure,KENT,4,Positive
pretty,Aquaguard,4,Positive
pretty,Native by UC,4,Positive
previous,Aquaguard,4,Positive
price,Generic,4,Positive
price,KENT,4,Negative
price,Kinsco,4,Negative
price,Native by UC,4,Positive
price,PROVEN,4,Neutral
price,V-Guard,4,Positive
prima,Livpure,4,Positive
problem,AO Smith,4,Negative
problem,AquaDart,4,Negative
problem,HUL Pureit,4,Positive
problem,R.K. AQUA FRESH INDIA,4,Negative
problems,Livpure,4,Negative
problems,Livpure,4,Positive
process,AQUA D PURE,4,Positive
process,AQUA LIBRA WITH DEVICE,4,Positive
process,Aquaguard,4,Positive
process,Havells,4,Positive
process,HUL Pureit,4,Neutral
process,Livpure,4,Positive
product,AO Smith,4,Neutral
product,R.K. AQUA FRESH INDIA,4,Neutral
products,Livpure,4,Negative
products,Livpure,4,Positive
professional,HUL Pureit,4,Positive
professional,PEORE,4,Positive
professionally,Aquaguard,4,Positive
promise,KENT,4,Negative
prompt,AQUA D PURE,4,Positive
prompt,Livpure,4,Positive
proper,KENT,4,Neutral
properly,AQUA D PURE,4,Positive
properly,Native by UC,4,Negative
provide,AQUA D PURE,4,Positive
provide,Aquaguard,4,Positive
provide,Livpure,4,Positive
provided,Havells,4,Positive
provided,PROVEN,4,Positive
provider,HUL Pureit,4,Positive
provider,KENT,4,Negative
provides,Aquaguard,4,Positive
providing,Livpure,4,Positive
purchase,AO Smith,4,Negative
purchase,AquaDart,4,Positive
purchase,Native by UC,4,Positive
purchase,PROVEN,4,Negative
purchase,RAMA,4,Positive
purchase,V-Guard,4,Negative
purchased,AQUA D PURE,4,Positive
purchased,AquaDart,4,Positive
purchasing,Livpure,4,Positive
pure,Livpure,4,Negative
pureit,HUL Pureit,4,Neutral
purification,Aquaguard,4,Negative
purification,DHANVI AquaFresh,4,Positive
purification,Livpure,4,Negative
purified,Aquaguard,4,Negative
purified,Aquaguard,4,Positive
purified,KENT,4,Negative
purified,Livpure,4,Positive
purifiers,AO Smith,4,Positive
purifiers,Aquaguard,4,Positive
purifiers,Havells,4,Positive
purifiers,KENT,4,Positive
purify,AO Smith,4,Positive
purifying,KENT,4,Negative
push,Aquaguard,4,Negative
put,KENT,4,Positive
quality,BRITA,4,Positive
quality,Havells,4,Negative
quality,HUL Pureit,4,Neutral
quick,Native by UC,4,Positive
quick,V-Guard,4,Positive
quite,AO Smith,4,Positive
quite,Aquaguard,4,Positive
quite,HUL Pureit,4,Negative
r,Aquaguard,4,Negative
r,R.K. AQUA FRESH INDIA,4,Positive
raise,KENT,4,Negative
raising,Aquaguard,4,Negative
rama,RAMA,4,Negative
range,AquaDart,4,Positive
range,Aquatec plus,4,Positive
range,Livpure,4,Positive
range,ROYAL AQUAFRESH,4,Positive
ratechapterschaptersdescriptionsdescriptions,HUL Pureit,4,Neutral
ratechapterschaptersdescriptionsdescriptions,HUL Pureit,4,Positive
rating,Livpure,4,Neutral
rating,Livpure,4,Positive
ravi,HUL Pureit,4,Positive
really,AquaDart,4,Positive
really,Aquaguard,4,Negative
really,AQUAULTRA,4,Positive
really,HUL Pureit,4,Negative
reason,KENT,4,Positive
receive,KENT,4,Negative
received,Faber,4,Positive
received,Havells,4,Positive
received,V-Guard,4,Positive
recently,KENT,4,Negative
recently,Kinsco,4,Positive
recommend,Aquatec plus,4,Positive
recommend,RAMA,4,Positive
recommended,Aquaguard,4,Positive
recommended,Livpure,4,Positive
recommended,RAMA,4,Negative
reduced,Aquaguard,4,Positive
