word,brand,frequency,analysis
service,HUL Pureit,37,Negative
taste,AQUA D PURE,37,Positive
time,KENT,37,Positive
use,Aquaguard,37,Positive
using,Kinsco,37,Positive
working,KENT,37,Positive
amazon,Aquaguard,36,Negative
call,Aquaguard,36,Negative
great,HUL Pureit,36,Positive
money,PROVEN,36,Positive
service,PEORE,36,Positive
using,Livpure,36,Positive
waste,KENT,36,Negative
well,HUL Pureit,36,Positive
1,KENT,35,Negative
3,KENT,35,Negative
customer,Aquaguard,35,Positive
customer,Livpure,35,Negative
eureka,Aquaguard,35,Positive
havells,Havells,35,Negative
pathetic,Aquaguard,35,Negative
tank,KENT,35,Positive
tds,Aquaguard,35,Negative
water,KENT,35,Neutral
good,DHANVI AquaFresh,34,Positive
good,ROYAL AQUAFRESH,34,Positive
months,KENT,34,Positive
one,Aquaguard,34,Positive
poor,KENT,34,Negative
within,KENT,34,Negative
2,KENT,33,Negative
best,Havells,33,Positive
change,KENT,33,Negative
installation,Livpure,33,Negative
poor,Aquaguard,33,Negative
price,AQUA D PURE,33,Positive
price,Aquaguard,33,Positive
product,AquaDart,33,Positive
quick,HUL Pureit,33,Positive
steel,RAMA,33,Positive
taste,Livpure,33,Positive
value,Kinsco,33,Positive
working,AO Smith,33,Positive
working,PROVEN,33,Positive
,KENT,32,Negative
also,KENT,32,Negative
best,PROVEN,32,Positive
buy,PROVEN,32,Positive
company,KENT,32,Negative
days,Livpure,32,Negative
every,KENT,32,Positive
good,Aquadpure,32,Positive
issue,Aquaguard,32,Negative
loaded,KENT,32,Negative
media,KENT,32,Negative
purifier,AQUA D PURE,32,Positive
stopped,Aquaguard,32,Negative
tds,KENT,32,Positive
tds,Kinsco,32,Positive
water,AquaDart,32,Positive
water,DHANVI AquaFresh,32,Positive
working,Livpure,32,Negative
working,Livpure,32,Positive
year,KENT,32,Positive
also,Havells,31,Positive
customer,KENT,31,Positive
easy,KENT,31,Positive
filter,HUL Pureit,31,Negative
filter,RAMA,31,Negative
like,KENT,31,Negative
nice,PROVEN,31,Positive
one,PROVEN,31,Positive
technician,Aquaguard,31,Positive
times,Aquaguard,31,Negative
value,PROVEN,31,Positive
year,Aquaguard,31,Negative
2,KENT,30,Positive
amazon,KENT,30,Negative
amazon,KENT,30,Positive
clean,KENT,30,Positive
delivery,Aquaguard,30,Positive
excellent,HUL Pureit,30,Positive
experience,KENT,30,Negative
kinsco,Kinsco,30,Positive
months,Havells,30,Positive
purifier,HUL Pureit,30,Positive
response,Aquaguard,30,Negative
service,Faber,30,Positive
taste,Havells,30,Positive
water,Faber,30,Negative
water,V-Guard,30,Positive
also,HUL Pureit,29,Positive
brand,Aquaguard,29,Negative
buying,Aquaguard,29,Negative
every,Aquaguard,29,Negative
free,Livpure,29,Positive
installed,HUL Pureit,29,Positive
like,Havells,29,Positive
need,KENT,29,Negative
please,KENT,29,Negative
product,DHANVI AquaFresh,29,Positive
proven,PROVEN,29,Positive
purchase,KENT,29,Negative
really,Kinsco,29,Positive
ro,AQUA D PURE,29,Positive
tds,PROVEN,29,Positive
times,KENT,29,Negative
using,Aquaguard,29,Positive
using,KENT,29,Positive
well,Kinsco,29,Positive
1,Aquaguard,28,Negative
called,Aquaguard,28,Negative
complaint,Aquaguard,28,Negative
design,Havells,28,Positive
installation,HUL Pureit,28,Negative
maintenance,Livpure,28,Positive
product,ROYAL AQUAFRESH,28,Positive
range,Kinsco,28,Positive
ro,Kinsco,28,Positive
satisfied,Aquaguard,28,Positive
service,Faber,28,Negative
taste,AO Smith,28,Positive
water,Faber,28,Positive
best,Aquaguard,27,Positive
brand,KENT,27,Negative
buy,Kinsco,27,Positive
candles,RAMA,27,Positive
day,HUL Pureit,27,Positive
delivery,HUL Pureit,27,Positive
hot,Havells,27,Positive
maintenance,KENT,27,Positive
membrane,KENT,27,Positive
month,Kinsco,27,Positive
one,Kinsco,27,Positive
one,Livpure,27,Negative
product,AQUA LIBRA WITH DEVICE,27,Positive
purchased,KENT,27,Negative
value,Aquaguard,27,Positive
waste,Aquaguard,27,Negative
water,AQUA FRISCH,27,Positive
water,AQUA LIBRA WITH DEVICE,27,Positive
water,Native by UC,27,Negative
years,KENT,27,Negative
1,KENT,26,Positive
2,Aquaguard,26,Negative
even,KENT,26,Positive
