asin,sales,date
B08J8C9265,0,08-04-2024
B083QHR8HW,0,08-04-2024
B079GY77GX,53676,08-04-2024
B0001VKXYG,12072,08-04-2024
B0C2D52FFV,16475,08-04-2024
B0001VW01K,88319,08-04-2024
B0CWRZW4K7,0,08-04-2024
B0CYX44L3S,0,08-04-2024
B0CY9SFRD9,0,08-04-2024
B00BB2BXQ6,41988,08-04-2024
B0BSFTWQ57,13000,08-04-2024
B096RNB6QX,11430,08-04-2024
B0BN3YTRJX,3975,08-04-2024
B08DHKD7N1,51291,08-04-2024
B00014D08Y,51471,08-04-2024
B0CRTF7279,0,08-04-2024
B003B3P4PY,60000,08-04-2024
B08NCBYWVB,8775,08-04-2024
B07C1DYDKW,5697,08-04-2024
B083G6KTJH,0,08-04-2024
B07BFQF3QC,0,08-04-2024
B0C65DHRXW,1156688,08-04-2024
B07KK75CL2,11703,08-04-2024
B00225UVDC,9898,08-04-2024
B08KY7474R,4140,08-04-2024
B0CMXNHHPS,46956,08-04-2024
B01HRWV372,1995,08-04-2024
B0CKF6QNXR,10900,08-04-2024
B0196FO35M,0,08-04-2024
B004GJVD2K,11994,08-04-2024
B09YLWT89W,77540337,01-04-2024
B0BJ6P3LSK,13348207,01-07-2023
B08BJN4MP3,19570602,01-07-2023
B09F2FW4ZK,19864228,01-07-2023
B0BJ6P3LSK,34086360,01-04-2024
B07FJNNZCJ,7364763,01-07-2023
B08B27R8MP,5550930,01-07-2023
B09X1P3J6G,27575597,01-04-2024
B0CR1DTPD2,35972019,01-04-2024
B09M45XKKF,1032284,01-07-2023
B0B79QLL1K,2909151,01-07-2023
B0BLLJDJ1Q,2764447,01-07-2023
B0C4TYTK78,705640,01-07-2023
B0085KK9OY,764127,01-07-2023
B09F2FW4ZK,47426382,01-04-2024
B0B8TBZFHG,5901093,01-07-2023
B09X1P3J6G,4770752,01-07-2023
B094YD54TC,1827553,01-07-2023
B0B7FJNSZR,1785745,01-07-2023
B009DA69KS,617487,01-07-2023
B07D3R62MH,846885,01-07-2023
B01HXUJB2W,2497167,01-07-2023
B0BLHZ7Z8V,887778,01-07-2023
B08BJN4MP3,24876223,01-04-2024
