Year,Month,asin,brand,pageResult,Price,Mrp,title
2024,August,B0DBV6HG6V,Generic,1,4999,25999,"Aqua Grand Plus RO Domestic Water Purifier (RO+ LED UV+ ORC COPPER+ HIGH TDS MEMBRANE+ TDS CONTROL) Fully Automatic, Best For Home/Office Purpose | 20 LPH | 12 Liter Storage"
2024,September,B0DBV6HG6V,Generic,1,4999,25999,"Aqua Grand Plus RO Domestic Water Purifier (RO+ LED UV+ ORC COPPER+ HIGH TDS MEMBRANE+ TDS CONTROL) Fully Automatic, Best For Home/Office Purpose | 20 LPH | 12 Liter Storage"
2024,June,B0CZS1NPD1,COPPER PLUS RO,2,3225,9999,Aqua Grand Ro water Purifier with Fully Automatic Function RO + UF + UV + UV_LED + TDS Control 12L Water Purifier and Best For Home and Office||Hospital||CR-01
2024,June,B0CVQG6PPD,AQUA LIBRA WITH DEVICE,2,5899,14999,AQUA LIBRA ISI Mark Black Color Water Purifier with RO+COPPER+UV Plus TDS Adjuster for Home For Kitchen
2024,September,B0D9W3151L,Generic,1,4099,15499,"Aqua Natural Automatic RO Water Purifier with UV, UF and TDS Controller with Complete Pre Filter Set, RO+UV+UF+TDS Adjuster water filter purifiers for Home & Kitchen - 12 liters"
2024,August,B0CV7XXWV7,COPPER PLUS RO,2,3299,14999,Aqua Nature Aqua Grand Plus Domestic Water Purifier RO 12Liter(RO+ LED UV+ COPPER WITH ALKALINE+ HIGH TDS MEMBRANE+ TDS CONTROLLER)||20LPH Output||use in class room For Home And Office||
2024,September,B0CV7XXWV7,COPPER PLUS RO,2,3295,6999,Aqua Nature Aqua Grand Plus Domestic Water Purifier RO 12Liter(RO+ LED UV+ COPPER WITH ALKALINE+ HIGH TDS MEMBRANE+ TDS CONTROLLER)||20LPH Output||use in class room For Home And Office||
2024,June,B0D3H2V1B6,Aqua Rhyme,2,3999,286,Aqua Rhyme Ro Water Purifier for Home Drinking 7 Stage Purification (Active Carbon + UV + Mineral + Alkaline + Copper Filter) with Grand Storage Tank 12 Litre (1 Year Warranty)
2024,August,B0DB8S68VM,Aqua Aviva,3,3699,12999,Aqua Ro Copper +Alkaline RO Water Purifier with RO+UV+UF+TDS Adjuster 12L | 8 Stage Purification | Suitable for all type water supply
2024,September,B0DB8S68VM,Aqua Aviva,2,3699,12999,Aqua Ro Copper +Alkaline RO Water Purifier with RO+UV+UF+TDS Adjuster 12L | 8 Stage Purification | Suitable for all type water supply
2024,June,B0CVBNGK45,COPPER PLUS RO,1,3350,12999,Aqua RO Royal Grand Plus Water Purifier 12-Liter (RO+ LED UV+ COPPER WITH ALKALINE+ HIGH TDS MEMBRANE+ TDS CONTROLLER)|| 20LPH OUTPUT||use in class room For Home And Office||NW-RO-01
2024,September,B0DCNRKVMT,Aqua Aviva,1,3799,11999,"Aqua RO Water Purifier + RO + UF + UV + TDS Controller|| Copper + Alkaline Purifier || 12 Leter Water Purifier for Home & Kitchen, Schools, Hospital"
2024,September,B0DF96JGRJ,AquaDart,2,4999,19999,AquaDart Copper + Mineral RO+UV+UF 12 Liter RO + UV + TDS ADJUSTER Water Purifier With Copper Charge Technology Black & Copper Best For Home and Office (Made In India)
2024,June,B096NTB9XT,Aquaguard,2,29998,49000,"Aquaguard Aura RO+UV+UF+Taste Adjuster(MTDS) with Active Copper & Zinc 7L water purifier,8 stages of purification,suitable for borewell,tanker,municipal water(Black) from Eureka Forbes"
